,Language,Framework,Database,OS,Platform,Others
1,sql,,,,,"vmware,consulting,options,communication,information technology,windows server,ip,servers,computer science,technical support,san,networking,switches,virtualization,operating systems,sql server,storage"
2,,,,,,"business analysis,windows azure,agile methodologies,project management"
3,"javascript,c++,python,java,php",,,,"kubernetes,docker","research,solution architecture,communication,database design,devops,strategy,leadership,salesforce.com,angular,data architecture,enterprise architecture"
4,"java,sql",,,,,"apis,security,soap,communication,activemq,computer science,web services,mulesoft"
5,"javascript,c,rust,c++,python",vue.js,redis,,"linux,google cloud platform,docker","apis,nginx,rest,css,html,git"
6,"ruby,php,javascript,sql,python",,mysql,,"linux,docker,kubernetes","cd,maven,application development,release management,safe,testing,powershell,jenkins,cicd,management,amazon web services,scrum,automation,communication,ci,devops,test automation,selenium,git,computer science,scripting,ant,ansible"
7,,,,,,"salesforce sales cloud,salesforce service cloud,salesforce lightning"
8,"java,scala,python",,,,,
9,"java,c++,go,scala,c#,python",,,,,"apis,.net core,.net,nosql"
10,,,,,,"analysis,manufacturing"
11,,,,,linux,"juniper,vmware,security,consulting,analysis,telecommunications,research,rf,monitoring,servers,computer science,routers,networking,vlan,comsec"
12,c#,,microsoft sql server,,docker,"integration,consulting,monitoring,system design,management,.net,computer science,devops,enterprise software,automation"
13,"javascript,sql,php","laravel,vue.js",,,,"apis,amazon web services,web applications,troubleshooting,rest,pci,css,html"
14,,,,,,"user experience,wireframes,research,usability,experience design,invision,sketch,user interface"
15,,,,,,"citrix,active directory,powershell,unix"
16,"java,javascript",spring,postgresql,,,"web services,web development,open source,jenkins,analysis,amazon web services,automation,communication,databases,test automation,selenium,user interface,git,cucumber,research,computer science,json,teamwork"
17,,asp.net,,,,"node.js,analysis,research,tfs,communication,.net,amazon web services,asp.net mvc,computer science,mvc,angular,angularjs,scrum"
18,"javascript,java",,,,,"amazon web services,angular,angularjs,node.js"
19,"javascript,ruby,erlang,c#,python,java,php,elixir",,,,,".net,unit testing,rest,functional programming,angular,design patterns,testing,data structures"
20,"javascript,java,sql",react.js,,,,"apis,process improvement,web services,css,node.js,management,.net,amazon web services,mvc,html,databases,leadership,operating systems,angular,design patterns,visual studio"
21,"c,c#",,,,,".net,windows azure"
22,"javascript,ruby,java,php",,,,,"eclipse,angular,angularjs"
23,"r,sql",,,,google cloud platform,"power bi,oracle cloud,tableau,amazon web services,windows azure"
24,sql,,,,linux,"security,change management,communication,management,technical support,electronics,security+,sscp,scripting,testing,gsec,powershell"
25,"java,sql,scala",,"mongodb,postgresql",,,"apache spark,natural language processing,data science,software architecture,gradient boosted machines,nosql,drools,artificial intelligence"
26,"java,sql,scala",,"mongodb,postgresql",,,"apache spark,natural language processing,data science,software architecture,gradient boosted machines,nosql,drools,artificial intelligence"
27,"java,sql,scala",,"mongodb,postgresql",,,"apache spark,natural language processing,data science,software architecture,gradient boosted machines,nosql,drools,artificial intelligence"
28,"java,sql,scala",,"mongodb,postgresql",,,"apache spark,natural language processing,data science,software architecture,gradient boosted machines,nosql,drools,artificial intelligence"
29,c#,asp.net,,,,".net,asp.net mvc"
30,java,,cassandra,,"kubernetes,docker","epic,eclipse,power bi,amazon web services,rest,splunk,compliance,scrum,json"
31,"java,scala,python",,,,,"cd,apache spark,machine learning,ci,amazon web services,cloud computing,bamboo,cicd,jenkins"
