Job_Id,cassandra,elasticsearch,microsoft sql server,mongodb,mysql,oracle,postgresql,redis
1,,,,,,,,
2,,,,,,,,
3,,,,,,,,
4,,,,,,,,
5,,,,,,,,1.0
6,,,,,1.0,,,
7,,,,,,,,
8,,,,,,,,
9,,,,,,,,
10,,,,,,,,
11,,,,,,,,
12,,,1.0,,,,,
13,,,,,,,,
14,,,,,,,,
15,,,,,,,,
16,,,,,,,1.0,
17,,,,,,,,
18,,,,,,,,
19,,,,,,,,
20,,,,,,,,
21,,,,,,,,
22,,,,,,,,
23,,,,,,,,
24,,,,,,,,
25,,,,1.0,,,1.0,
26,,,,1.0,,,1.0,
27,,,,1.0,,,1.0,
28,,,,1.0,,,1.0,
29,,,,,,,,
30,1.0,,,,,,,
31,,,,,,,,
32,,,,,,1.0,,
33,,,,,,,,
34,,,,,,,,
35,,,,,,,,
36,,,,1.0,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,1.0,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,1.0,,,
53,1.0,,,1.0,1.0,1.0,1.0,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,1.0,,
59,1.0,,,1.0,,1.0,,
60,,,,,,,,
61,1.0,,,,,1.0,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,1.0,1.0,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,1.0,,
97,,,,,,1.0,,
98,,,,,,,,
99,,,,,,,,
100,,,,,,,,
101,,,,,,,,
102,,,,,,,,
103,,,,,,,,
104,,,,,,,,
105,,,,,,,,
106,,,,,,1.0,,
107,,,,,,,,
108,,,,,,,,
109,,,,,,,,
110,,,,,,,,
111,,,,,,,,
112,,,,,,,,
113,,,,,,,1.0,
114,,,,,,,,
115,,,,,,,,
116,,,,,,,,
117,,,,,,,,
118,,,,,,,,
119,,,,,,,,
120,,,,,,,,
121,,,,,,,,
122,,,,,,,,
123,,,,,,,,
124,,,,,,,,
125,,,,,,,,
126,,,,,,,,
127,,,,,,,,
128,,,,,,,,
129,,,,,,,,
130,,,,,,,,
131,,,,,,,,
132,,,,,1.0,,,
133,,,,,,,,
134,,,,,,,,
135,,,,,1.0,,1.0,
136,,,,,,,,
137,,,,,,,,
138,,,,,,,,
139,,,,,,,,
140,,,,,,,,
141,,,,,1.0,1.0,,
142,,,,,,1.0,1.0,
143,,,,,,1.0,,
144,,,,,,,,
145,,,,,,,,
146,,,,,,,,
147,,,,,,,,
148,,,,,1.0,1.0,,
149,,,,,,1.0,,
150,,,,,,,,
151,,,,,,1.0,1.0,
152,,1.0,,,,,,
153,,,,,,1.0,,
154,,,,,,,,
155,,,,,,,,
156,,,,,,,,
157,,,,,,,,
158,,,,,,,,
159,,,,,,,,
160,,,,,,,,
