Job_Id,asp.net,django,drupal,express,jquery,laravel,react.js,ruby on rails,spring,vue.js
1,,,,,,,,,,
2,,,,,,,,,,
3,,,,,,,,,,
4,,,,,,,,,,
5,,,,,,,,,,1.0
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,,,,,,,,,,
12,,,,,,,,,,
13,,,,,,1.0,,,,1.0
14,,,,,,,,,,
15,,,,,,,,,,
16,,,,,,,,,1.0,
17,1.0,,,,,,,,,
18,,,,,,,,,,
19,,,,,,,,,,
20,,,,,,,1.0,,,
21,,,,,,,,,,
22,,,,,,,,,,
23,,,,,,,,,,
24,,,,,,,,,,
25,,,,,,,,,,
26,,,,,,,,,,
27,,,,,,,,,,
28,,,,,,,,,,
29,1.0,,,,,,,,,
30,,,,,,,,,,
31,,,,,,,,,,
32,,,,,,,,,1.0,
33,,,,,,,,,,
34,,,,,,,,,,
35,,,,,1.0,,1.0,,,
36,,,,,,,,,,
37,,,,,,,,,,
38,,,,,,,,,,
39,,,,,,,,,,
40,,,,,,,,,,
41,,,,,,,,,,
42,,,,,1.0,,,,1.0,
43,,,,,,,,,,
44,,,,,,,,,,
45,,,,,,,,,,
46,,,,,,,,,,
47,,,,,,,,,,
48,,,,,,,,,,
49,,,,,,,,,,
50,,,,,,,,,,
51,,,,,1.0,,,,1.0,
52,,,,,,,,,,
53,,,,,,,,,,
54,,,,,,,,1.0,,
55,,,,,,,,,1.0,
56,,,,,,,,,,
57,,,,,,,,,,
58,,,,,,,,,,
59,,,,,,,,,1.0,
60,,,,,,,,,,
61,,,,,1.0,,,,1.0,
62,,,,,,,,,,
63,,,,,,,,,,
64,,,,,,,,,,
65,,,,,,,,,,
66,,,,,,,,,,
67,,,,,,,,,,
68,,,,,1.0,,,,,
69,,,,,,,,,,
70,,,,,,,,,,
71,,,,,,,,,,
72,,,,,,,,,,
73,,,,,,,,,,
74,,,,,,,,,,
75,,,,,,,,,,
76,,,,,,,,,,
77,,,,,1.0,,,,1.0,
78,,,,,,,,,,
79,,,,,,,,,,
80,,,,,,,,,,
81,,,,,,,,,,
82,,,,,,,,,,
83,,,,,,,,,,
84,,,,,,,,,,
85,,,,,,,,,,
86,,,,,,,,,,
87,,,,,,,,,,
88,,,,,,,,,,
89,,,,,,,,,1.0,
90,,,,,,,,,,
91,,,,,,,,,,
92,,,,,,,,,,
93,,,,,,,,,,
94,,,,,,,,1.0,,
95,,,,,,,,,,
96,,,,,,,,,,
97,,,,,,,,,,
98,,,,,,,,,,
99,,,,,,,,,,
100,,,,,,,,,,
101,,,,,,,,,,
102,,,,,,,,,,
103,,,,,,,,,,
104,,,,,,,,,1.0,
105,,,,,,,,,,
106,,,,,,,,,,
107,,,,,,,,,,
108,,,,,1.0,,,,,
109,,,,,1.0,,,,,
110,,,,,,,,,,
111,,,,,,,,,,
112,,,,,,,,,,
113,,,,,,,,1.0,,
114,,,,,,,,,,
115,,,,,,,,,,
116,,,,,,,,,,
117,,,,,,,,,,
118,1.0,,,,,,,,,
119,,,,,,,1.0,,1.0,
120,,,,,,,1.0,,,
121,,,,,1.0,,,,1.0,
122,,,,,,,,,,
123,,,,,,,,,,
124,,,,,,,,,,
125,,,,,,,,,,
126,,,,,,,,,,
127,,,,,,,,,,
128,,,,,,,,,,
129,,,,,,,1.0,,,
130,,,,,,,1.0,,,
131,,,,,,,,,,
132,,,,,,,,,,
133,,,,,,,,,,
134,,,,,,,,,,
135,,,,,,,1.0,,,
136,,,,,,,,,,
137,,,,,,,,,,
