,Job_Id,jobtitle,company_name,job_role,jobdescription,job_updation,as.character.default.job_skills.,skills,Skill-1,Skill-2,Skill-3,Skill-4,Skill-5,Skill-6,Skill-7,Skill-8,Skill-9,Skill-10,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49
15,16,Java Full Stack Developer,REI Systems,Back End Developer,"Must be U.S. Citizen to applyWe are seeking a Full Stack Developer to join our team. In this role, your strong analytic skills and ability to solve challenges with technology will make an impact on our government clients critical missions, improving millions of lives across the globe.Responsbilities:Analyze problems such as user requirements, input data and form, output data and form, available computer configuration, processing, and turnaround time requirementsEvaluate, test, and manage configuration that support the software development processPlan, conduct, and direct systems projects of major importance and difficulty by applying your advanced computer systems knowledgeResearch systems analysis methodology and create a repository of such information in electronic format for re-useMaintain comprehensive knowledge in the development of client/server and internet applications that utilize a n-tier architecture and graphical user interfaceProvide deployment support by deploying code, static files, and/or databases by request to the staging environment and syncing static files and databases among environmentsOther similar professional duties assigned as neededQualifications:Required Skills3-7 years of experience in open source web developmentExperience building websites using JS frameworks such as Angular and ReactExperience building applications using Java, Spring boot, JSON, and JavaScriptExperience with Databases such as MySQL and PostgreSQLExperience with test automation tools such as Cucumber and SeleniumExperience with automated deployment tools such as JenkinsExperience in Test Driven and Behavior Driven Development frameworksReady to embrace a fast-paced work environment with deadlines and new challengesStrong communication and teamwork abilitiesSolid understanding of CI/CD pipelineBachelors degree in computer science or a related field with 3-5 years of relevant experienceEmployer will accept a suitable combination of education, training, or experienceDesired SkillsExperience delivering solutions using Agile delivery practicesExperience with Amazon Web Services (AWS)Familiarity with revision control systems such as Git/GithubExperience enhancing the performance of high-traffic sitesWork Authorization: US citizenship required",26/09/2019,"c(""Web Development"", ""Javascript"", ""Java"", ""PostgreSQL"", ""Cucumber"", ""Automation"", ""Amazon Web Services"", ""Spring"", ""Databases"", ""Web Services"", ""Git"", ""Test Automation"", ""Selenium"", ""Jenkins"", ""JSON"", ""Computer Science"", ""User Interface"", ""Open Source"", ""Analysis"", ""Teamwork"", ""Research"", ""Communication"")","Web Development, Javascript, Java, PostgreSQL, Cucumber, Automation, Amazon Web Services, Spring, Databases, Web Services, Git, Test Automation, Selenium, Jenkins, JSON, Computer Science, User Interface, Open Source, Analysis, Teamwork, Research, Communication","""Web Development"""," ""Javascript"""," ""Java"""," ""PostgreSQL"""," ""Cucumber"""," ""Automation"""," ""Amazon Web Services"""," ""Spring"""," ""Databases"""," ""Web Services"""," ""Git"""," ""Test Automation"""," ""Selenium"""," ""Jenkins"""," ""JSON"""," ""Computer Science"""," ""User Interface"""," ""Open Source"""," ""Analysis"""," ""Teamwork"""," ""Research"""," ""Communication"")",,,,,,,,,,,,,,,,,,,,
112,113,Senior Full-stack Developer,CarServ,Software Developer,"CarServ is seeking a senior full-stack developer to contribute to our Ruby on Rails and Angular (v8) applications.  Why work at CarServ?CarServ is overhauling the automotive repair experience with our innovative software.  Our operating system provides an end-to-end software solution that allows automotive service centers to cut costs, improve efficiency, and maximize customer satisfaction.  CarServ is a Techstars Austin 2016 alum and is backed by Salesforce Ventures.  We are also an official partner of Lyft. Watch our winning 2018 Salesforce Dreampitch to learn more about our company and platform at https://youtu.be/OnF8MCkwcHQ?t=1822.  Our goal is to be inclusive in this search, and truly welcome people from different backgrounds and perspectives into the process. Responsibilities and OpportunitiesAssume these responsibilities represent the floor, not the ceiling. Were interested in your ideas once youre on board.- Optimize and improve existing Ruby on Rails and Angular (v8) applications.- Collaborate on defining requirements and implementing new features.- Lead implementation of new feature areas and coach junior developers.- Ensure existing and new features are well-documented and have full test coverage.- Participate in sprint planning, budgeting and code reviews, sometimes taking the lead.Required Skills And Experience- 3+ years experience building enterprise grade API-driven applications.- Experience collaborating with a team of developers, including remote team members.- Ability to write clean, well-documented code and test coverage.- Strong experience with Ruby on Rails and JavaScript MVC frameworks.- Experience with TypeScript and Angular 2+.- Passion for creating great user experiences.- Experience working with SQL databases.Our Values: Work hard, work smart. Be kind and candid with each other. Exercise empathy in building both our product and our company.  We are solving a big problem and we need a diverse, thoughtful, engaged and determined team to do it!How to ApplyPlease email your resume along with a brief note explaining your interest in becoming a full-stack engineer at CarServ to jobs@carserv.com.  We will invite candidates to interview on a rolling basis.CompensationWe believe in rewarding talent!  CarServ offers competitive salary, equity, PTO and benefits to all employees.In ClosingWe want to meet a broad set of candidates and run an inclusive process. If something here prompts a question or concern for you, please contact us at jobs@carserv.com to share your feedback. Thanks for your interest in joining the CarServ team!",25/09/2019,"c(""Javascript"", ""PostgreSQL"", ""Agile Methodologies"", ""Ruby on Rails"", ""TypeScript"", ""Angular"")","Javascript, PostgreSQL, Agile Methodologies, Ruby on Rails, TypeScript, Angular","""Javascript"""," ""PostgreSQL"""," ""Agile Methodologies"""," ""Ruby on Rails"""," ""TypeScript"""," ""Angular"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,199,"Software Engineer, Back End...",Horn Solutions,Software Developer,"Horn Solutions has partnered with a local client to bring on a Software Engineer (Back End) for their growing team in Austin. You will be responsible for leading the development on new features for their platform. You have experience designing & implementing distributed systems & can collaborate cross-functionally. You balance concerns of maintainability, reliability & scalability with the need to deliver results. RESPONSIBILITIES --   Write technical design documents to communicate the intent of system changes  Develop new product features utilizing Python 3 & PostgreSQL  Use code analysis & verification tools including autoformatting type hints & testing to detect & resolve defects early in the development process Peer review code developed by team members    Ensure software is secure, maintainable & extensible  Collaborate with designers, product managers & engineers  Ensure the security of applications through participation in external penetration tests, threat modeling & security-focused code review   Utilize modern extensibility methods including feature toggles    Automate routine developer workflows including environment setup  Measure quality metrics including test coverage & gradually improve them  Encourage automation & continuous improvement MUST HAVE BACKGROUND & SKILLS    3+ years of experience in back end software development   2+ years of experience utilizing Python professionally    Experience utilizing PostgreSQL or an equivalent relational database  Experience in statically typed languages including Golang, C#, Java and/or Rust   Experience utilizing Docker & Kubernetes for development & deployment     Experience designing & documenting APIs utilizing Protocol Buffers, RAML, Swagger and/or OpenAPI  Experience with distributed systems & microservices   Advocate for CI/CD    Deep understanding of development best practices & core principles    Experience designing, developing & testing scalable back end systems  Capable of working collaboratively with a team as well as independently   Interested & excited about new technologiesNICE TO HAVE SKILLS     Experience utilizing Google Cloud Platform (GCP)  Experience utilizing Flask    High security background  Experience in a startup environmentThis is a full time opportunity located in Downtown Austin, offering a competitive benefits package, flexible schedule & great work/life balance.",24/09/2019,"c(""Docker"", ""Python"", ""PostgreSQL"", ""Distributed Systems"", ""Kubernetes"", ""Golang"", ""Google Cloud Platform"", ""Microservices"")","Docker, Python, PostgreSQL, Distributed Systems, Kubernetes, Golang, Google Cloud Platform, Microservices","""Docker"""," ""Python"""," ""PostgreSQL"""," ""Distributed Systems"""," ""Kubernetes"""," ""Golang"""," ""Google Cloud Platform"""," ""Microservices"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,202,Site Reliability Engineer...,Horn Solutions,Reliability Engineer,"Horn Solutions has partnered with a local client to bring on a Site Reliability (DevOps) Engineer for their growing team here in Austin. This person will be responsible for automating cloud resources, implementing developer tooling & making changes to products to increase manageability. They should have the ability to define technical design & implement work independently. RESPONSIBILITIES   Automate cloud infrastructure via tools like Terraform & Atlantis Administer software platform including Kubernetes, BigQuery & PostgreSQL  Evaluate, design & implement solutions for continuous integration, continuous delivery & DevOps productivity  Ensure reliability of company software; simultaneously considering non-functional concerns like security, maintainability & extensibility Collaborate with product engineers to identify observability/configurability gaps & make code-level improvements  Creating tooling to improve the developer experience, enabling them to deliver business value faster & more effectively   Manage runbooks for incident response Measure operational performance & make gradual improvements.MUST HAVE SKILLS   2+ years experience in site reliability, systems administration or DevOps    Experience with cloud service automation  Experience with container orchestration systems including Kubernetes, Swarm, Rancher or ECS   Experience with Google Cloud Platform and/or AWS  Experience administering a CI/CD platform     Experience with Python 3 & Golang Proficient in scripting languages including Bash, Python and/or Ruby  Experience with distributed systems & microservices   Clear, concise written & verbal communication A desire & willingness to learn   Initiative & motivation to make things happenNICE TO HAVES     Experience with Terraform Atlantis    Experience with GitOps    Experience in a startup environment   Interested & excited about new technologiesThis is a full-time opportunity located in Downtown Austin, offering a competitive benefits package, flexible schedule & great work/life balance.",24/09/2019,"c(""Docker"", ""Python"", ""PostgreSQL"", ""Amazon Web Services"", ""Distributed Systems"", ""Scripting"", ""Kubernetes"", ""Terraform"", ""Golang"", ""Google Cloud Platform"", ""Microservices"")","Docker, Python, PostgreSQL, Amazon Web Services, Distributed Systems, Scripting, Kubernetes, Terraform, Golang, Google Cloud Platform, Microservices","""Docker"""," ""Python"""," ""PostgreSQL"""," ""Amazon Web Services"""," ""Distributed Systems"""," ""Scripting"""," ""Kubernetes"""," ""Terraform"""," ""Golang"""," ""Google Cloud Platform"""," ""Microservices"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,258,Senior/Intermediate Software...,T&T Power Group,Software Developer,"We are seeking an ambitious software developer with strong industry skills to join our rapidly growing team in developing tools and software for both internal use and as a service to customers in the power generation industry. We are a highly-motivated, fun-loving team that holds ourselves to a very high standard. The successful candidate will have an immediate impact, and will contribute to a positive, productive and fun workplace.Our environment is moving towards a cloud-based containerized system with a heavy focus on Python-driven web based services that are integrated with our ERP/accounting system. Experience with Python is highly valued, and familiarity with Docker, web development (html/javascript/node.js) and accounting/ERP systems is an asset.We are a relatively new development team, so this opportunity provides a wide horizon of future possibilities. The successful candidate will have a major impact on the direction of the organization, participating in decisions as to which opportunities to pursue and which strategies are employed to grow the team and the business.Responsibilities (will vary with skillset):  Design, build and maintain tools that increase the efficiency of work flows and improve communication of our staff.   Design & build software, APIs and services for our customers, following best practices to ensure relatively bug-free deployments. Gather data programmatically from industrial meters, sensors and controllers via standard protocols (eg. Modbus over TCP/IP)  Design and maintain relational databases and develop tools and APIs to help end-users interact with data. Write unit tests for new and existing code and strive towards full test coverage  Write and maintain internal and end-user documentation for new and existing projects. Work with IT, accounting, service, sales and production teams to gather project requirements and set timelines.   Develop and maintain CI/CD pipelines using GitLab, Docker and AWS hosts.  Research, develop and implement development workflows and philosophiesRequirements Must have experience with at least one of:    Python (strongly preferred)   Javascript, node.js and html  ERP/accounting software development   Experience with databases (PostgreSQL, SQL Server, etc.). Strong analytical, troubleshooting and problem-solving skills.    Strong written and verbal communication skills.   Outstanding attention to detail.  Passion for learning new technologies, creating functional solutions and constantly improving.Preferred Skills and Experience   Experience with testing web and client/server applications.   Strong proficiency in automation and automated testing, including functional, integration, stress, performance, and other tests.  Experience with Docker and container based build infrastructures. Experience with git and CI/CD workflows   Experience with cloud systems (AWS, EC2, ECS).    Proven success in project management and software design would be an asset if seeking a senior role.  Degree in Computer Science, Software Engineering, or a related discipline.    Experienced software developer (3+ years).And most importantly... YOU MUST be willing to have fun and be part of a fantastic team",24/09/2019,"c(""Web Development"", ""Javascript"", ""Node.js"", ""HTML"", ""Docker"", ""Python"", ""PostgreSQL"", ""C#"", ""Automation"", ""SQL"", ""Databases"", ""Git"", ""APIs"", ""Testing"", ""Integration"", ""Project Management"", ""Management"", ""SQL Server"", ""Computer Science"", ""TCP/IP"", ""Troubleshooting"", ""Communication"", ""IP"", ""Sensors"", ""IoT"", ""ERP"")","Web Development, Javascript, Node.js, HTML, Docker, Python, PostgreSQL, C#, Automation, SQL, Databases, Git, APIs, Testing, Integration, Project Management, Management, SQL Server, Computer Science, TCP/IP, Troubleshooting, Communication, IP, Sensors, IoT, ERP","""Web Development"""," ""Javascript"""," ""Node.js"""," ""HTML"""," ""Docker"""," ""Python"""," ""PostgreSQL"""," ""C#"""," ""Automation"""," ""SQL"""," ""Databases"""," ""Git"""," ""APIs"""," ""Testing"""," ""Integration"""," ""Project Management"""," ""Management"""," ""SQL Server"""," ""Computer Science"""," ""TCP/IP"""," ""Troubleshooting"""," ""Communication"""," ""IP"""," ""Sensors"""," ""IoT"""," ""ERP"")",,,,,,,,,,,,,,,,
401,402,Senior Full Stack Java...,Vestmark,Software Developer,"Vestmark has been looking for you, a Senior Full Stack Software Engineer who wants to join our rapidly growing scrum organization. Our Chicago office is comprised of Engineers who have a passion for technology and solving complex problems. We are not your typical FinTech firm, our office vibe has an entrepreneurial feel with plenty of opportunity for growth. Did we mention the location? We are located on the northwest corner of the loop on the Chicago River close to the El.Vestmark is a leading provider of wealth management solutions and services and a trusted partner to some of the largest and most respected players in wealth management. Exciting right?Responsibilities:Hands on software development for applications within our VestmarkONE suite of financial services, including Portfolio Trading, Proposal Generation and Investor PortalBuild and maintain features to match our expanding scale and performance requirementsCollaborate in an open-concept environment working within an agile scrum team Skills & Requirements:5+ years of experience developing and testing enterprise applications using JavaFull stack development experience, with expertise in at least one layer and a desire to work across the entire stack Nice to Have:Experience with Spring, Hibernate, SQL, PostgreSQL, Liquibase, SOAP/REST, React, Apache Camel, and ServiceMixExperience with AWS or similar cloud computing environmentsOpen Source enthusiastHackathon JunkieC# or equivalent object-oriented programming languagesComfortable working as part of a nationally distributed teamExperience developing financial services software such as Reconciliation, Portfolio Management Systems and/or Trading systems is a plus Education:B.S. or M.S. in Computer Science, or equivalent work experience",19/09/2019,"c(""Java"", ""PostgreSQL"", ""Scrum"", ""C#"", ""Amazon Web Services"", ""SQL"", ""Spring"", ""Hibernate"", ""Cloud Computing"", ""REST"", ""Testing"", ""Apache"", ""Management"", ""Computer Science"", ""SOAP"", ""Open Source"", ""Trading"", ""Trading Systems"")","Java, PostgreSQL, Scrum, C#, Amazon Web Services, SQL, Spring, Hibernate, Cloud Computing, REST, Testing, Apache, Management, Computer Science, SOAP, Open Source, Trading, Trading Systems","""Java"""," ""PostgreSQL"""," ""Scrum"""," ""C#"""," ""Amazon Web Services"""," ""SQL"""," ""Spring"""," ""Hibernate"""," ""Cloud Computing"""," ""REST"""," ""Testing"""," ""Apache"""," ""Management"""," ""Computer Science"""," ""SOAP"""," ""Open Source"""," ""Trading"""," ""Trading Systems"")",,,,,,,,,,,,,,,,,,,,,,,,
404,405,Full Stack Java Engineer -...,Vestmark,Software Developer,"Vestmark has been looking for you, a Full Stack Software Engineer who wants to join our rapidly growing scrum organization. Our Chicago office is comprised of Engineers who have a passion for technology and solving complex problems. We are not your typical FinTech firm, our office vibe has an entrepreneurial feel with plenty of opportunity for growth. Did we mention the location? We are located on the northwest corner of the loop on the Chicago River close to the El.Vestmark is a leading provider of wealth management solutions and services and a trusted partner to some of the largest and most respected players in wealth management. Exciting right?Responsibilities:Hands on software development for applications within our VestmarkONE suite of financial services, including Portfolio Trading, Proposal Generation and Investor PortalBuild and maintain features to match our expanding scale and performance requirementsCollaborate in an open-concept environment working within an agile scrum team Skills and Requirements:2-5 years experience developing and testing enterprise applications using Java Full stack development experience, with expertise in at least one layer and a desire to work across the entire stack Nice to Have:Experience with Spring, Hibernate, SQL, PostgreSQL, Liquibase, SOAP/REST, React, Apache Camel, and ServiceMixExperience with AWS or similar cloud computing environments is a plusOpen Source enthusiastHackathon JunkieC# or equivalent object-oriented programming languagesComfortable working as part of a nationally distributed teamExperience developing financial services software such as Reconciliation, Portfolio Management Systems and/or Trading systems is a plus Education:B.S. or M.S. in Computer Science, or equivalent work experience",19/09/2019,"c(""Java"", ""PostgreSQL"", ""Scrum"", ""C#"", ""Amazon Web Services"", ""SQL"", ""Spring"", ""Hibernate"", ""Cloud Computing"", ""REST"", ""Testing"", ""Apache"", ""Management"", ""Computer Science"", ""SOAP"", ""Open Source"", ""Trading"", ""Trading Systems"")","Java, PostgreSQL, Scrum, C#, Amazon Web Services, SQL, Spring, Hibernate, Cloud Computing, REST, Testing, Apache, Management, Computer Science, SOAP, Open Source, Trading, Trading Systems","""Java"""," ""PostgreSQL"""," ""Scrum"""," ""C#"""," ""Amazon Web Services"""," ""SQL"""," ""Spring"""," ""Hibernate"""," ""Cloud Computing"""," ""REST"""," ""Testing"""," ""Apache"""," ""Management"""," ""Computer Science"""," ""SOAP"""," ""Open Source"""," ""Trading"""," ""Trading Systems"")",,,,,,,,,,,,,,,,,,,,,,,,
405,406,Senior Full Stack Java...,Vestmark,Software Developer,"Vestmark has been looking for you, a Senior Full Stack Software Engineer who wants to join our rapidly growing scrum organization. Our Chicago office is comprised of Engineers who have a passion for technology and solving complex problems. We are not your typical FinTech firm, our office vibe has an entrepreneurial feel with plenty of opportunity for growth. Did we mention the location? We are located on the northwest corner of the loop on the Chicago River close to the El.Vestmark is a leading provider of wealth management solutions and services and a trusted partner to some of the largest and most respected players in wealth management. Exciting right?Responsibilities:Hands on software development for applications within our VestmarkONE suite of financial services, including Portfolio Trading, Proposal Generation and Investor PortalBuild and maintain features to match our expanding scale and performance requirementsCollaborate in an open-concept environment working within an agile scrum team Skills & Requirements:5+ years of experience developing and testing enterprise applications using JavaFull stack development experience, with expertise in at least one layer and a desire to work across the entire stack Nice to Have:Experience with Spring, Hibernate, SQL, PostgreSQL, Liquibase, SOAP/REST, React, Apache Camel, and ServiceMixExperience with AWS or similar cloud computing environmentsOpen Source enthusiastHackathon JunkieC# or equivalent object-oriented programming languagesComfortable working as part of a nationally distributed teamExperience developing financial services software such as Reconciliation, Portfolio Management Systems and/or Trading systems is a plus Education:B.S. or M.S. in Computer Science, or equivalent work experience",19/09/2019,"c(""Java"", ""PostgreSQL"", ""Scrum"", ""C#"", ""Amazon Web Services"", ""SQL"", ""Spring"", ""Hibernate"", ""Cloud Computing"", ""REST"", ""Testing"", ""Apache"", ""Management"", ""Computer Science"", ""SOAP"", ""Open Source"", ""Trading"", ""Trading Systems"")","Java, PostgreSQL, Scrum, C#, Amazon Web Services, SQL, Spring, Hibernate, Cloud Computing, REST, Testing, Apache, Management, Computer Science, SOAP, Open Source, Trading, Trading Systems","""Java"""," ""PostgreSQL"""," ""Scrum"""," ""C#"""," ""Amazon Web Services"""," ""SQL"""," ""Spring"""," ""Hibernate"""," ""Cloud Computing"""," ""REST"""," ""Testing"""," ""Apache"""," ""Management"""," ""Computer Science"""," ""SOAP"""," ""Open Source"""," ""Trading"""," ""Trading Systems"")",,,,,,,,,,,,,,,,,,,,,,,,
406,407,Senior Full Stack Software Engineer,Vestmark,Software Developer,"Vestmark is looking for a Senior Full Stack Software Engineer with a passion for technology and solving complex problems to join our rapidly growing Scrum organization.  Your energy, enthusiasm and technical curiosity, combined with your appreciation and support of our core values, will be leveraged to help us build the next generation of our wealth management applications.  Responsibilities:Hands on software development for applications within our VestmarkONE suite of financial services, including Portfolio Trading, Proposal Generation and Investor PortalBuild and maintain features to match our expanding scale and performance requirementsCollaborate in an open-concept environment working within an agile scrum team Skills & Requirements:5+ years of hands-on experience developing and testing enterprise applications using Java, C# or equivalent object-oriented programming languagesFull stack development experience, with expertise in at least one layer and a desire to work across the entire stack Nice to Have:Experience with Spring, Hibernate, SQL, PostgreSQL, Liquibase, SOAP/REST, React, Apache Camel, and ServiceMixExperience with AWS or similar cloud computing environmentsOpen Source enthusiastHackathon JunkieComfortable working as part of a nationally distributed teamExperience developing financial services software such as Reconciliation, Portfolio Management Systems and/or Trading systems is a plus Education:B.S. or M.S. in Computer Science, or equivalent work experience.About Vestmark:Vestmark is a leading provider of wealth management solutions and services which enables financial advisors and institutions to efficiently manage and trade their clients' portfolios using an innovative SaaS ecosystem. With over $1+ trillion in assets and 3+ million accounts, we are a trusted partner to some of the largest and most respected players across the wealth management industry. Our team of over 400 employees is made up of highly skilled software engineers, implementation specialists, business strategists, and visionaries who maintain an eye toward the future of financial technology. Our employees are our most valuable asset, and the reason weve been named Best Places to Work by Boston Business Journal three years in a row.",19/09/2019,"c(""Java"", ""PostgreSQL"", ""Scrum"", ""C#"", ""SaaS"", ""SQL"", ""Spring"", ""Hibernate"", ""Cloud Computing"", ""REST"", ""Testing"", ""Apache"", ""Management"", ""Object Oriented Design"", ""Computer Science"", ""SOAP"", ""Open Source"", ""Trading"", ""Trading Systems"")","Java, PostgreSQL, Scrum, C#, SaaS, SQL, Spring, Hibernate, Cloud Computing, REST, Testing, Apache, Management, Object Oriented Design, Computer Science, SOAP, Open Source, Trading, Trading Systems","""Java"""," ""PostgreSQL"""," ""Scrum"""," ""C#"""," ""SaaS"""," ""SQL"""," ""Spring"""," ""Hibernate"""," ""Cloud Computing"""," ""REST"""," ""Testing"""," ""Apache"""," ""Management"""," ""Object Oriented Design"""," ""Computer Science"""," ""SOAP"""," ""Open Source"""," ""Trading"""," ""Trading Systems"")",,,,,,,,,,,,,,,,,,,,,,,
424,425,Senior Full Stack Software Engineer,Vestmark,Software Developer,"Vestmark is looking for a Senior Full Stack Software Engineer with a passion for technology and solving complex problems to join our rapidly growing Scrum organization.  Your energy, enthusiasm and technical curiosity, combined with your appreciation and support of our core values, will be leveraged to help us build the next generation of our wealth management applications.  Responsibilities:Hands on software development for applications within our VestmarkONE suite of financial services, including Portfolio Trading, Proposal Generation and Investor PortalBuild and maintain features to match our expanding scale and performance requirementsCollaborate in an open-concept environment working within an agile scrum team Skills & Requirements:5+ years of hands-on experience developing and testing enterprise applications using Java, C# or equivalent object-oriented programming languagesFull stack development experience, with expertise in at least one layer and a desire to work across the entire stack Nice to Have:Experience with Spring, Hibernate, SQL, PostgreSQL, Liquibase, SOAP/REST, React, Apache Camel, and ServiceMixExperience with AWS or similar cloud computing environmentsOpen Source enthusiastHackathon JunkieComfortable working as part of a nationally distributed teamExperience developing financial services software such as Reconciliation, Portfolio Management Systems and/or Trading systems is a plus Education:B.S. or M.S. in Computer Science, or equivalent work experience.About Vestmark:Vestmark is a leading provider of wealth management solutions and services which enables financial advisors and institutions to efficiently manage and trade their clients' portfolios using an innovative SaaS ecosystem. With over $1+ trillion in assets and 3+ million accounts, we are a trusted partner to some of the largest and most respected players across the wealth management industry. Our team of over 400 employees is made up of highly skilled software engineers, implementation specialists, business strategists, and visionaries who maintain an eye toward the future of financial technology. Our employees are our most valuable asset, and the reason weve been named Best Places to Work by Boston Business Journal three years in a row.",19/09/2019,"c(""Java"", ""PostgreSQL"", ""Scrum"", ""C#"", ""SaaS"", ""SQL"", ""Spring"", ""Hibernate"", ""Cloud Computing"", ""REST"", ""Testing"", ""Apache"", ""Management"", ""Object Oriented Design"", ""Computer Science"", ""SOAP"", ""Open Source"", ""Trading"", ""Trading Systems"")","Java, PostgreSQL, Scrum, C#, SaaS, SQL, Spring, Hibernate, Cloud Computing, REST, Testing, Apache, Management, Object Oriented Design, Computer Science, SOAP, Open Source, Trading, Trading Systems","""Java"""," ""PostgreSQL"""," ""Scrum"""," ""C#"""," ""SaaS"""," ""SQL"""," ""Spring"""," ""Hibernate"""," ""Cloud Computing"""," ""REST"""," ""Testing"""," ""Apache"""," ""Management"""," ""Object Oriented Design"""," ""Computer Science"""," ""SOAP"""," ""Open Source"""," ""Trading"""," ""Trading Systems"")",,,,,,,,,,,,,,,,,,,,,,,
