Respondent,angular/angular.js,asp.net,django,drupal,express,flask,jquery,laravel,other(s):,react.js,ruby on rails,spring,vue.js
1,,,1.0,,,1.0,,,,,,,
2,,,1.0,,,,,,,,,,
3,,,,,,,,,,,,,
4,,,,,,,,,,,,,
5,,,1.0,,1.0,1.0,1.0,,,1.0,,1.0,
6,,,,,,,,,,,,,
7,,,,,,,,,,1.0,,,
8,,,,,1.0,1.0,,,,1.0,,1.0,
9,,,,,1.0,,,,1.0,,1.0,,
10,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,
11,,,,,,,,,,,,,
12,,,,,,,,,,,,,
13,1.0,1.0,,,1.0,,1.0,,,,,,1.0
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,1.0,1.0,,,,,1.0,,,,,,
17,1.0,,,,1.0,,,,,,,1.0,
18,,,,,,,,,,,,,
19,1.0,1.0,,,1.0,,1.0,,,1.0,,,
20,1.0,1.0,,,,,1.0,,,,,,
21,,,1.0,,,1.0,,,1.0,,,,
22,1.0,,,,,,,,,,1.0,,
23,,,,,,,,,,1.0,1.0,,
24,,,,,1.0,,1.0,,,1.0,,,
25,1.0,,,,,,1.0,1.0,,,,,
26,1.0,1.0,,1.0,1.0,,1.0,,,,1.0,,
27,1.0,,,,1.0,,,,,,1.0,,
28,,,,,,,,,,1.0,,,1.0
29,,,,,1.0,,1.0,,,1.0,,,
30,,,,,,,,,,,,,
31,,,,,,,,,,,,,
32,,,,,1.0,1.0,,,,,,,
33,,,,,,,,,,,,,
34,,,,,,,,,,,,,
35,1.0,,,,,,,,,,,,
36,,,,,,,,,,,,,
37,,,,,,,,,,,,,
38,,1.0,,,,,1.0,,,,,,
39,1.0,1.0,,,,,1.0,,,,,,
40,,1.0,,,,,,,,,,,
41,,,,,,,,,,1.0,,,
42,,,,,,,1.0,1.0,,,,,
43,,1.0,1.0,,,,,,,,,1.0,
44,,,,,,,,,,,,1.0,1.0
45,,,,,,,,,,,,,
46,,,1.0,,,1.0,,,,,,,
47,1.0,,,,,,,,,,,,
48,,,,,,,,,1.0,,,,
49,1.0,,1.0,,1.0,,,,,,,1.0,
50,,,1.0,,1.0,1.0,1.0,,,,,,
51,1.0,,,,1.0,,,,,,,,
52,,,,,,,,,1.0,,,,
53,1.0,,,,,,,,,,,1.0,
54,,,1.0,,,,,,,1.0,,,
55,,,,,,,,,,,,,
56,,,,,,,,,,,,1.0,
57,,,,,,,,,,1.0,,,
58,,1.0,,,,,1.0,,,,,,
59,1.0,,,,,,1.0,,1.0,,,,
60,,,,,,1.0,,1.0,1.0,1.0,,,1.0
61,,1.0,,1.0,,,1.0,1.0,,,,,
62,,,1.0,,,,1.0,,,1.0,,,
63,,,,,,,,,,,,,
64,,,,,,,,,,,,,
65,,1.0,,,,,,,,,,,
66,,,1.0,,,,,,,,,1.0,
67,1.0,,,,1.0,,1.0,,,,,,
68,,,,,1.0,,1.0,,,1.0,,,1.0
69,,,,,,,,,,,,1.0,
70,,1.0,,,,,1.0,,,,,,
71,,,,,,,,1.0,,1.0,,,
72,,1.0,,,,,1.0,,,1.0,,,
73,,,,,,,,,,,,,
74,,,,,,1.0,,,,,,1.0,
75,,,,,1.0,,,,,1.0,,,
76,,,,,,,,,1.0,,,,
77,,,,,,,1.0,,,,,,1.0
78,,,,,1.0,,1.0,,,1.0,,,1.0
79,1.0,1.0,,,,,1.0,,,,,,
80,1.0,1.0,,,,1.0,,,,,,,1.0
81,,,,,,,,,,,,,
82,,,,,,,,,,1.0,,1.0,
83,,,,,1.0,,,,,1.0,,,
84,,1.0,,,,,,,,,,,
85,1.0,1.0,1.0,,,1.0,,,,1.0,,,
86,,,1.0,,1.0,1.0,1.0,,,,,,1.0
87,,,1.0,,,,,,,1.0,,1.0,
88,,1.0,,,1.0,,,,,,,,
89,,,,,,,,,,,,,
90,,,,,,,,,,1.0,1.0,,
91,,,,,,,1.0,,,1.0,,,
92,,,,,,,,,1.0,,,,
93,,,,,,,,,,,,,
94,,1.0,,,,,1.0,,,,,,
95,1.0,,,,,,,,,,,,
96,,,,,,,,,,,,,
97,,,,,,1.0,,,,,,,
98,,,,,,,,,,,,,1.0
99,,,1.0,,,,,,,1.0,,,
100,,,,,1.0,,1.0,,,1.0,1.0,,
101,1.0,,,,1.0,,,,,,,,
102,,1.0,,,,,1.0,,1.0,1.0,,,
103,,,1.0,,,,,,,1.0,,,
104,1.0,1.0,,,,,1.0,,,,,,
105,1.0,,,,,,1.0,,,1.0,,1.0,
106,,,1.0,,,,1.0,,1.0,,,,
107,,,1.0,,,,,,,,,,
108,,,,,,,,,,,,,
109,,1.0,,,,,1.0,,,,,,
110,,,,,,,,,,,,,
111,,1.0,,,,,1.0,,,,,,
112,,,,,,,,,,,,,
113,,,,,,,,,,,,,
114,,,,,,,,1.0,1.0,,,,
115,,1.0,,,,,1.0,,,1.0,,1.0,
116,,,,,,,,,1.0,,,,
117,1.0,1.0,,,,,1.0,,,,,,1.0
118,,,,,,,,,,,,,
119,,1.0,,,,,,,,,,,
120,,,,,,1.0,,,,,1.0,,
121,,,1.0,,,1.0,1.0,,,1.0,,,
122,,,1.0,,,,,,,,,,
123,1.0,1.0,,,,,1.0,,,1.0,,,1.0
124,,,,,,,,,,,,1.0,
125,1.0,,,,,,,,,,,1.0,
126,,1.0,,,,,,,,,,,
127,,,,,,,,,,,,,
128,,,,,,,,,,,1.0,,
129,,,,,,,,,,,,,
130,,,1.0,,,1.0,,,,,,1.0,
131,,,,,,,,,,,,,
132,,,,,,,,,,,,,
133,,,,,,,1.0,,,,,,
134,,,,,,,,,,,,,
135,1.0,,,,1.0,,1.0,,,1.0,,,
136,,,,,,,1.0,,,,,,
137,,,,,,,,,,1.0,,,
139,,1.0,,,,,1.0,,,,,,
140,,,,,,,,,,,,,
141,1.0,,,,1.0,,1.0,,,1.0,1.0,,1.0
142,,,,,,,,,,,,,
143,,,1.0,,,,,,,1.0,,1.0,
144,,,,,,,,,,,,1.0,
145,,,,,,,,,,,,,
